"actual","predicted","error","mse","rmse","mae"
14787.63,11976.2177240499,2811.41227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
15669.59,11976.2177240499,3693.37227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
10811.38438,9602.92531472079,1208.45906527921,22639406.2747011,4758.08851059973,7.78671325663048e-13
9699.294732,13863.915170598,-4164.62043859804,22639406.2747011,4758.08851059973,7.78671325663048e-13
16089.62,13863.915170598,2225.70482940196,22639406.2747011,4758.08851059973,7.78671325663048e-13
11562.12032,10837.1988302728,724.92148972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
15608.88,11976.2177240499,3632.66227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
12356.08,11976.2177240499,379.862275950083,22639406.2747011,4758.08851059973,7.78671325663048e-13
12259.73,11976.2177240499,283.512275950083,22639406.2747011,4758.08851059973,7.78671325663048e-13
16839.22,10321.8931830274,6517.32681697263,22639406.2747011,4758.08851059973,7.78671325663048e-13
10880.47,11976.2177240499,-1095.74772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
8204.43,9602.92531472079,-1398.49531472079,22639406.2747011,4758.08851059973,7.78671325663048e-13
16488.71,9602.92531472079,6885.78468527921,22639406.2747011,4758.08851059973,7.78671325663048e-13
3343.429607,9602.92531472079,-6259.49570772079,22639406.2747011,4758.08851059973,7.78671325663048e-13
8357.52,10837.1988302728,-2479.67883027285,22639406.2747011,4758.08851059973,7.78671325663048e-13
9882.429281,11976.2177240499,-2093.78844304992,22639406.2747011,4758.08851059973,7.78671325663048e-13
10239.36826,11976.2177240499,-1736.84946404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
9296.089663,9602.92531472079,-306.835651720792,22639406.2747011,4758.08851059973,7.78671325663048e-13
14319.28955,11976.2177240499,2343.07182595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
8084.46,10321.8931830274,-2237.43318302737,22639406.2747011,4758.08851059973,7.78671325663048e-13
12624.18,11976.2177240499,647.962275950083,22639406.2747011,4758.08851059973,7.78671325663048e-13
6851.06485,9602.92531472079,-2751.86046472079,22639406.2747011,4758.08851059973,7.78671325663048e-13
13120.9,10321.8931830274,2799.00681697263,22639406.2747011,4758.08851059973,7.78671325663048e-13
13017.58755,9602.92531472079,3414.66223527921,22639406.2747011,4758.08851059973,7.78671325663048e-13
10782.44689,11976.2177240499,-1193.77083404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
12552.32,11976.2177240499,576.102275950083,22639406.2747011,4758.08851059973,7.78671325663048e-13
12346.4,10837.1988302728,1509.20116972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
18127.45079,11976.2177240499,6151.23306595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
10583.66633,10837.1988302728,-253.53250027285,22639406.2747011,4758.08851059973,7.78671325663048e-13
4337.936703,11976.2177240499,-7638.28102104992,22639406.2747011,4758.08851059973,7.78671325663048e-13
6565.502151,10837.1988302728,-4271.69667927285,22639406.2747011,4758.08851059973,7.78671325663048e-13
13008.47434,11976.2177240499,1032.25661595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
10384.63,9602.92531472079,781.704685279206,22639406.2747011,4758.08851059973,7.78671325663048e-13
13253.23,10321.8931830274,2931.33681697263,22639406.2747011,4758.08851059973,7.78671325663048e-13
10534.85,10321.8931830274,212.956816972628,22639406.2747011,4758.08851059973,7.78671325663048e-13
10612.97524,11976.2177240499,-1363.24248404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
14822.23,11976.2177240499,2846.01227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
4885.697622,10837.1988302728,-5951.50120827285,22639406.2747011,4758.08851059973,7.78671325663048e-13
9945.359032,11976.2177240499,-2030.85869204992,22639406.2747011,4758.08851059973,7.78671325663048e-13
10776.87942,10837.1988302728,-60.3194102728503,22639406.2747011,4758.08851059973,7.78671325663048e-13
8764.031529,11976.2177240499,-3212.18619504992,22639406.2747011,4758.08851059973,7.78671325663048e-13
11257.23503,9602.92531472079,1654.30971527921,22639406.2747011,4758.08851059973,7.78671325663048e-13
11121.29,11976.2177240499,-854.927724049916,22639406.2747011,4758.08851059973,7.78671325663048e-13
14153.23635,11976.2177240499,2177.01862595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
18933.45599,11976.2177240499,6957.23826595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
9577.26,11976.2177240499,-2398.95772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
13832.34901,13863.915170598,-31.5661605980422,22639406.2747011,4758.08851059973,7.78671325663048e-13
5229.772196,13863.915170598,-8634.14297459804,22639406.2747011,4758.08851059973,7.78671325663048e-13
11775.88,13863.915170598,-2088.03517059804,22639406.2747011,4758.08851059973,7.78671325663048e-13
12413.67,11976.2177240499,437.452275950083,22639406.2747011,4758.08851059973,7.78671325663048e-13
4948.027732,10837.1988302728,-5889.17109827285,22639406.2747011,4758.08851059973,7.78671325663048e-13
11613.407,10837.1988302728,776.20816972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
6919.078766,9602.92531472079,-2683.84654872079,22639406.2747011,4758.08851059973,7.78671325663048e-13
16843.85,10321.8931830274,6521.95681697263,22639406.2747011,4758.08851059973,7.78671325663048e-13
5554.117082,11976.2177240499,-6422.10064204992,22639406.2747011,4758.08851059973,7.78671325663048e-13
13547.09,11976.2177240499,1570.87227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
11979.57111,9602.92531472079,2376.64579527921,22639406.2747011,4758.08851059973,7.78671325663048e-13
11758.49,10837.1988302728,921.29116972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
16354.45238,10837.1988302728,5517.25354972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
4797.42506,10837.1988302728,-6039.77377027285,22639406.2747011,4758.08851059973,7.78671325663048e-13
8092.244347,7926.15063786792,166.093709132076,22639406.2747011,4758.08851059973,7.78671325663048e-13
15393.24464,10837.1988302728,4556.04580972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
11431.52,10837.1988302728,594.321169727151,22639406.2747011,4758.08851059973,7.78671325663048e-13
8193.036982,10321.8931830274,-2128.85620102737,22639406.2747011,4758.08851059973,7.78671325663048e-13
4515.31549,7926.15063786792,-3410.83514786792,22639406.2747011,4758.08851059973,7.78671325663048e-13
20515.01,11976.2177240499,8538.79227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
13790.68,10837.1988302728,2953.48116972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
15463.30564,11976.2177240499,3487.08791595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
7441.927562,9602.92531472079,-2160.99775272079,22639406.2747011,4758.08851059973,7.78671325663048e-13
15885.38476,10321.8931830274,5563.49157697263,22639406.2747011,4758.08851059973,7.78671325663048e-13
10622.7,10837.1988302728,-214.498830272849,22639406.2747011,4758.08851059973,7.78671325663048e-13
13568.33,11976.2177240499,1592.11227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
16588.38605,9602.92531472079,6985.46073527921,22639406.2747011,4758.08851059973,7.78671325663048e-13
13645.21,11976.2177240499,1668.99227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
2467.641438,10321.8931830274,-7854.25174502737,22639406.2747011,4758.08851059973,7.78671325663048e-13
9587.52,11976.2177240499,-2388.69772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
28670.31,20850.3873864545,7819.92261354546,22639406.2747011,4758.08851059973,7.78671325663048e-13
12233.02,20850.3873864545,-8617.36738645454,22639406.2747011,4758.08851059973,7.78671325663048e-13
13461.62,9602.92531472079,3858.69468527921,22639406.2747011,4758.08851059973,7.78671325663048e-13
29289.41,20850.3873864545,8439.02261354546,22639406.2747011,4758.08851059973,7.78671325663048e-13
18951.99,20850.3873864545,-1898.39738645454,22639406.2747011,4758.08851059973,7.78671325663048e-13
21661.6,20850.3873864545,811.21261354546,22639406.2747011,4758.08851059973,7.78671325663048e-13
13287.25,10837.1988302728,2450.05116972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
11024.97,11976.2177240499,-951.247724049917,22639406.2747011,4758.08851059973,7.78671325663048e-13
10758.4,11976.2177240499,-1217.81772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
